"WHO Director-General Dr Tedros, in his regular media briefing yesterday, highlighted that today is World"
Refugee Day and highlighted the risks of COVID-19 for some of the world’s most vulnerable people. He also
"stressed the shared duty to do everything we can to prevent, detect and respond to transmission of COVID-19"
among refugee populations.
WHO has published ‘Criteria for releasing COVID-19 patients from isolation’ which provides an update to
previous guidance. The updated criteria reflect recent findings that patients whose symptoms have resolved
"may still test positive for the COVID-19 virus for many weeks. Despite this positive test result, these patients are"
not likely to be infectious and therefore are unlikely to be able to transmit the virus to another person.
WHO has published an Emergency Global Supply Chain System (COVID-19) catalogue. This catalogue lists all
"medical devices, including personal protective equipment, medical equipment, medical consumables, single"
"use devices, laboratory and test-related devices that may be requested through the COVID-19 Supply Portal."
Reporting Country/ Territory/Area,Reporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,Reporting Country/ Territory/Area,,otal confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",ases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",Africa,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,1 026,6,67,0,Community transmission,0
Burkina Faso,901,2,53,0,Community transmission,0
Congo,883,0,27,0,Community transmission,4
Chad,858,4,74,0,Community transmission,0
Cabo Verde,848,25,8,1,Clusters of cases,0
Uganda,823,0,0,0,Sporadic cases,6
Mozambique,668,6,4,0,Clusters of cases,0
Rwanda,661,15,2,0,Sporadic cases,0
Benin,650,53,11,0,Community transmission,0
Malawi,648,56,8,0,Clusters of cases,0
Eswatini,623,37,4,0,Clusters of cases,0
Liberia,581,39,33,0,Community transmission,0
Togo,555,11,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,43
Zimbabwe,479,16,4,0,Sporadic cases,0
Sao Tome and Principe,388,0,10,0,Clusters of cases,2
Mauritius,337,0,10,0,Clusters of cases,14
Comoros,210,0,5,0,Community transmission,1
Angola,166,0,8,0,Clusters of cases,1
Eritrea,142,0,0,0,Sporadic cases,1
Burundi,104,0,1,0,Clusters of cases,4
Botswana,89,10,1,0,Clusters of cases,0
Namibia,45,6,0,0,Sporadic cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Gambia,36,0,1,0,Sporadic cases,1
Seychelles,11,0,0,0,Clusters of cases,74
Lesotho,4,0,0,0,Sporadic cases,16
Territoriesii,,,,,,
Mayotte,2 394,11,29,0,Clusters of cases,0
Réunion,504,2,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 172 212,23 046,118 205,733,Community transmission,0
Brazil,978 142,22 765,47 748,1 238,Community transmission,0
Peru,244 388,3 480,7 461,204,Community transmission,0
Chile,231 393,6 290,4 093,252,Community transmission,0
Mexico,165 455,5 662,19 747,667,Community transmission,0
Canada,100 220,367,8 300,46,Community transmission,0
Colombia,60 217,3 171,1 950,86,Community transmission,0
Ecuador,49 731,634,4 156,69,Community transmission,0
Argentina,37 510,1 958,954,25,Community transmission,0
Dominican Republic,25 068,423,647,12,Community transmission,0
Panama,23 351,754,475,5,Community transmission,0
Bolivia (Plurinational State of),21 499,814,697,18,Community transmission,0
Guatemala,11 868,617,449,17,Community transmission,0
Honduras,1 0739,440,343,7,Community transmission,0
Haiti,4 916,228,84,2,Community transmission,0
El Salvador,4 329,129,86,4,Community transmission,0
Venezuela (Bolivarian Republic of),3 484,98,28,0,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Cuba,2 305,10,85,0,Clusters of cases,0
Nicaragua,2 014,0,64,0,Community transmission,2
Costa Rica,1 939,68,12,0,Clusters of cases,0
Paraguay,1 336,6,13,0,Community transmission,0
Uruguay,850,1,24,0,Clusters of cases,0
Jamaica,638,12,10,0,Clusters of cases,0
Suriname,277,16,8,1,Clusters of cases,0
Guyana,183,0,12,0,Clusters of cases,1
Trinidad and Tobago,123,0,8,0,Sporadic cases,4
Bahamas,104,0,11,0,Clusters of cases,4
Barbados,97,0,7,0,Clusters of cases,4
Saint Vincent and the Grenadines,29,0,0,0,Sporadic cases,2
